"device_id","rain","rssi","snr","time"
"eui-a8610a34323b9311","0","-67","9.5","2024-01-09 19:12:36"
"eui-a8610a34323b9311","0","-63","9","2024-01-09 19:22:36"
"eui-a8610a34323b9311","0","-63","8.75","2024-01-09 19:32:36"
"eui-a8610a34323b9311","0","-109","-4","2024-01-09 19:42:36"
"eui-a8610a34323b9311","0","-103","-9.5","2024-01-09 19:52:36"
"eui-a8610a34323b9311","0","-102","0.2","2024-01-09 20:02:36"
"eui-a8610a34323b9311","0","-63","10.75","2024-01-09 20:12:36"
"eui-a8610a34323b9311","0","-60","6.75","2024-01-09 20:22:35"
"eui-a8610a34323b9311","0","-61","9.75","2024-01-09 20:32:35"
"eui-a8610a34323b9311","0","-104","1.5","2024-01-09 20:42:35"
"eui-a8610a34323b9311","0","-63","8.75","2024-01-09 20:52:35"
"eui-a8610a34323b9311","0","-60","7","2024-01-09 21:02:35"
"eui-a8610a34323b9311","0","-107","4.2","2024-01-09 21:12:35"
"eui-a8610a34323b9311","0","-104","3.2","2024-01-09 21:22:35"
"eui-a8610a34323b9311","0","-61","8.75","2024-01-09 21:32:35"
"eui-a8610a34323b9311","0","-59","7","2024-01-09 21:42:35"
"eui-a8610a34323b9311","0","-97","-10.8","2024-01-09 21:52:35"
"eui-a8610a34323b9311","0","-103","3.8","2024-01-09 22:02:35"
"eui-a8610a34323b9311","0","-102","1","2024-01-09 22:12:35"
"eui-a8610a34323b9311","0","-60","7.25","2024-01-09 22:22:35"
"eui-a8610a34323b9311","0","-104","-7.8","2024-01-09 22:32:35"
"eui-a8610a34323b9311","0","-61","6.75","2024-01-09 22:42:35"
"eui-a8610a34323b9311","0","-63","9.75","2024-01-09 22:52:35"
"eui-a8610a34323b9311","0","-103","-3.2","2024-01-09 23:02:34"
"eui-a8610a34323b9311","0","-104","1.5","2024-01-09 23:12:34"
"eui-a8610a34323b9311","0","-105","1","2024-01-09 23:22:34"
"eui-a8610a34323b9311","0","-101","-4.5","2024-01-09 23:32:34"
"eui-a8610a34323b9311","0","-59","7.25","2024-01-09 23:42:34"
"eui-a8610a34323b9311","0","-59","7.75","2024-01-09 23:52:34"
"eui-a8610a34323b9311","0","-98","-4.8","2024-01-10 00:02:34"
"eui-a8610a34323b9311","0","-65","9.5","2024-01-10 00:12:34"
"eui-a8610a34323b9311","0","-103","2.5","2024-01-10 00:22:34"
"eui-a8610a34323b9311","0","-105","-1","2024-01-10 00:32:34"
